"from","to","target","source"
"Minako Kotobuki","Kazuki Yao",39,36
"Minako Kotobuki","Aki Toyosaki",40,36
"Minako Kotobuki","Rikiya Koyama",41,36
"Minako Kotobuki","Kenta Miyake",42,36
"Minako Kotobuki","Nobuyuki Katsube",43,36
"Minako Kotobuki","Houchu Ohtsuka",44,36
"Minako Kotobuki","Takayuki Sugo",191,36
"Takahiro Fujiwara","Yoshiro Matsumoto",38,37
"Takahiro Fujiwara","Kazuki Yao",39,37
"Takahiro Fujiwara","Aki Toyosaki",40,37
"Takahiro Fujiwara","Rikiya Koyama",41,37
"Takahiro Fujiwara","Kenta Miyake",42,37
"Takahiro Fujiwara","Nobuyuki Katsube",43,37
"Takahiro Fujiwara","Houchu Ohtsuka",44,37
"Takahiro Fujiwara","Takayuki Sugo",191,37
"Yoshiro Matsumoto","Kazuki Yao",39,38
"Yoshiro Matsumoto","Aki Toyosaki",40,38
"Yoshiro Matsumoto","Rikiya Koyama",41,38
"Yoshiro Matsumoto","Kenta Miyake",42,38
"Yoshiro Matsumoto","Nobuyuki Katsube",43,38
"Yoshiro Matsumoto","Houchu Ohtsuka",44,38
"Yoshiro Matsumoto","Takayuki Sugo",191,38
"Kazuki Yao","Aki Toyosaki",40,39
"Kazuki Yao","Rikiya Koyama",41,39
"Kazuki Yao","Kenta Miyake",42,39
"Kazuki Yao","Nobuyuki Katsube",43,39
"Kazuki Yao","Houchu Ohtsuka",44,39
"Kazuki Yao","Takayuki Sugo",191,39
"Aki Toyosaki","Rikiya Koyama",41,40
"Aki Toyosaki","Kenta Miyake",42,40
"Aki Toyosaki","Nobuyuki Katsube",43,40
"Aki Toyosaki","Houchu Ohtsuka",44,40
"Aki Toyosaki","Takayuki Sugo",191,40
"Rikiya Koyama","Kenta Miyake",42,41
"Rikiya Koyama","Nobuyuki Katsube",43,41
"Rikiya Koyama","Houchu Ohtsuka",44,41
"Rikiya Koyama","Takayuki Sugo",191,41
"Kenta Miyake","Nobuyuki Katsube",43,42
"Kenta Miyake","Houchu Ohtsuka",44,42
"Kenta Miyake","Takayuki Sugo",191,42
"Nobuyuki Katsube","Houchu Ohtsuka",44,43
"Nobuyuki Katsube","Takayuki Sugo",191,43
"Houchu Ohtsuka","Takayuki Sugo",191,44
"Hiroaki Iwanaga","Takahiro Sakurai",34,33
"Hiroaki Iwanaga","Toa Yukinari",35,33
"Hiroaki Iwanaga","Yuki Kaji",1,33
"Hiroaki Iwanaga","Yoshiro Matsumoto",38,33
"Hiroaki Iwanaga","Minako Kotobuki",36,33
"Hiroaki Iwanaga","Takahiro Fujiwara",37,33
"Hiroaki Iwanaga","Kazuki Yao",39,33
"Hiroaki Iwanaga","Yuichi Nakamura",45,33
"Hiroaki Iwanaga","Aki Toyosaki",40,33
"Hiroaki Iwanaga","Akio Otsuka",183,33
"Takahiro Sakurai","Toa Yukinari",35,34
"Takahiro Sakurai","Yuki Kaji",1,34
"Takahiro Sakurai","Yoshiro Matsumoto",38,34
"Takahiro Sakurai","Minako Kotobuki",36,34
"Takahiro Sakurai","Takahiro Fujiwara",37,34
"Takahiro Sakurai","Kazuki Yao",39,34
"Takahiro Sakurai","Yuichi Nakamura",45,34
"Takahiro Sakurai","Aki Toyosaki",40,34
"Takahiro Sakurai","Akio Otsuka",183,34
"Toa Yukinari","Yuki Kaji",1,35
"Toa Yukinari","Yoshiro Matsumoto",38,35
"Toa Yukinari","Minako Kotobuki",36,35
"Toa Yukinari","Takahiro Fujiwara",37,35
"Toa Yukinari","Kazuki Yao",39,35
"Toa Yukinari","Yuichi Nakamura",45,35
"Toa Yukinari","Aki Toyosaki",40,35
"Toa Yukinari","Akio Otsuka",183,35
"Yuki Kaji","Yoshiro Matsumoto",38,1
"Yuki Kaji","Minako Kotobuki",36,1
"Yuki Kaji","Takahiro Fujiwara",37,1
"Yuki Kaji","Kazuki Yao",39,1
"Yuki Kaji","Yuichi Nakamura",45,1
"Yuki Kaji","Aki Toyosaki",40,1
"Yuki Kaji","Akio Otsuka",183,1
"Yoshiro Matsumoto","Minako Kotobuki",36,38
"Yoshiro Matsumoto","Takahiro Fujiwara",37,38
