"from","to","target","source"
"Ravi Baswani","Naseeruddin Shah",1,90
"Farooq Shaikh","Naseeruddin Shah",1,32
"Farooq Shaikh","Deepti Naval",91,32
"Farooq Shaikh","Veeni Paranjape Joglekar",92,32
"Farooq Shaikh","Mallika Sarabhai",93,32
"Farooq Shaikh","Arun Joglekar",170,32
"Naseeruddin Shah","Deepti Naval",91,1
"Naseeruddin Shah","Veeni Paranjape Joglekar",92,1
"Naseeruddin Shah","Mallika Sarabhai",93,1
"Naseeruddin Shah","Arun Joglekar",170,1
"Deepti Naval","Veeni Paranjape Joglekar",92,91
"Deepti Naval","Mallika Sarabhai",93,91
"Deepti Naval","Arun Joglekar",170,91
"Veeni Paranjape Joglekar","Mallika Sarabhai",93,92
"Veeni Paranjape Joglekar","Arun Joglekar",170,92
"Mallika Sarabhai","Arun Joglekar",170,93
"Shah Rukh Khan","Sunil Shetty",94,37
"Shah Rukh Khan","Sushmita Sen",95,37
"Shah Rukh Khan","Zayed Khan",96,37
"Shah Rukh Khan","Amrita Rao",97,37
"Shah Rukh Khan","Kiron Kher",98,37
"Shah Rukh Khan","Boman Irani",99,37
"Shah Rukh Khan","Bindu",100,37
"Shah Rukh Khan","Naseeruddin Shah",1,37
"Shah Rukh Khan","Kabir Bedi",171,37
"Sunil Shetty","Sushmita Sen",95,94
"Sunil Shetty","Zayed Khan",96,94
"Sunil Shetty","Amrita Rao",97,94
"Sunil Shetty","Kiron Kher",98,94
"Sunil Shetty","Boman Irani",99,94
"Sunil Shetty","Bindu",100,94
"Sunil Shetty","Naseeruddin Shah",1,94
"Sunil Shetty","Kabir Bedi",171,94
"Sushmita Sen","Zayed Khan",96,95
"Sushmita Sen","Amrita Rao",97,95
"Sushmita Sen","Kiron Kher",98,95
"Sushmita Sen","Boman Irani",99,95
"Sushmita Sen","Bindu",100,95
"Sushmita Sen","Naseeruddin Shah",1,95
"Sushmita Sen","Kabir Bedi",171,95
"Zayed Khan","Amrita Rao",97,96
"Zayed Khan","Kiron Kher",98,96
"Zayed Khan","Boman Irani",99,96
"Zayed Khan","Bindu",100,96
"Zayed Khan","Naseeruddin Shah",1,96
"Zayed Khan","Kabir Bedi",171,96
"Amrita Rao","Kiron Kher",98,97
"Amrita Rao","Boman Irani",99,97
"Amrita Rao","Bindu",100,97
"Amrita Rao","Naseeruddin Shah",1,97
"Amrita Rao","Kabir Bedi",171,97
"Kiron Kher","Boman Irani",99,98
"Kiron Kher","Bindu",100,98
"Kiron Kher","Naseeruddin Shah",1,98
"Kiron Kher","Kabir Bedi",171,98
"Boman Irani","Bindu",100,99
